source,error,item
ne_10m_urban_areas_landscan.geojson,"no match","18.895378787849 -96.952045454564 Cordoba"
ne_10m_urban_areas_landscan.geojson,"no match","40.555422374393 34.946860730535 Corum"
ne_10m_urban_areas_landscan.geojson,"no match","7.2178030302743 124.2477813852 Cotabato"
ne_10m_urban_areas_landscan.geojson,"no match","49.686994949463 -124.99659090911 Courtenay"
ne_10m_urban_areas_landscan.geojson,"no match","-33.683333333347 136.92083333326 Cowell"
ne_10m_urban_areas_landscan.geojson,"no match","-38.045572324716 145.20301601474 Cranbourne"
ne_10m_urban_areas_landscan.geojson,"no match","45.492876344053 124.28319892466 Daan"
ne_10m_urban_areas_landscan.geojson,"no match","36.367478070142 127.37932017536 Daejeon"
ne_10m_urban_areas_landscan.geojson,"no match","16.96666666664 -88.220833333356 Dangriga"
ne_10m_urban_areas_landscan.geojson,"no match","32.757196969671 22.641666666622 Darnah"
ne_10m_urban_areas_landscan.geojson,"no match","51.150198412668 -100.05059523811 Dauphin"
ne_10m_urban_areas_landscan.geojson,"no match","8.4203231292308 -82.430187074851 David"
ne_10m_urban_areas_landscan.geojson,"no match","35.330759803895 40.159681372492 Dayr az Azwr"
