source,error,item
ne_10m_urban_areas_landscan.geojson,"no match","-26.041666666702 -55.941666666727 Abai"
ne_10m_urban_areas_landscan.geojson,"no match","-22.721572692872 -65.696669343821 Abra Pampa"
ne_10m_urban_areas_landscan.geojson,"no match","34.02958911842 36.732268718595 Ad Nabk"
ne_10m_urban_areas_landscan.geojson,"no match","37.754836202084 38.278201759312 Adiyaman"
ne_10m_urban_areas_landscan.geojson,"no match","16.98573456086 7.9922025358062 Agadez"
ne_10m_urban_areas_landscan.geojson,"no match","5.9344386981606 -4.2034444129513 Agboville"
ne_10m_urban_areas_landscan.geojson,"no match","38.624458784484 21.405636223434 Agrinio"
ne_10m_urban_areas_landscan.geojson,"no match","30.760387759005 20.223152474558 Ajdabiya"
ne_10m_urban_areas_landscan.geojson,"no match","39.73389418451 140.09714643249 Akita"
ne_10m_urban_areas_landscan.geojson,"no locations found for 65.680988685092 -18.107770979106 Akureyi","80 in naturalearthdata/ne_10m_urban_areas_landscan.geojson"
