"ARCTIC OCEAN",Polygon,2,3939.2158988107,Polygon,1,3974.790283195
"SOUTHERN OCEAN",Polygon,26,3237.9215569615,Polygon,1,3301.1974925646
"NORTH ATLANTIC OCEAN",Polygon,76,3120.9051395298,Polygon,2,3147.5034678749
"NORTH PACIFIC OCEAN",MultiPolygon,2,5883.7701819704,MultiPolygon,2,5903.2268929776
"SOUTH PACIFIC OCEAN",MultiPolygon,2,7352.78174543,MultiPolygon,2,7379.396045995
"INDIAN OCEAN",Polygon,30,6219.1325993727,Polygon,1,6228.7520811927
"SOUTH ATLANTIC OCEAN",Polygon,23,4134.5014657495,Polygon,1,4146.3617687372
"Black Sea",Polygon,2,46.783813421707,Polygon,1,49.606333923352
"Philippine Sea",Polygon,16,479.40596856844,Polygon,1,482.97084454095
"Coral Sea",Polygon,21,340.30220594912,Polygon,1,344.77651181862
"Tasman  Sea",Polygon,7,352.4359968278,Polygon,1,357.29870544014
"Bay of Bengal",Polygon,11,170.43790381537,Polygon,1,174.01027648003
"South China Sea",Polygon,30,263.82945628256,Polygon,1,274.02907075291
"Sea of Japan",Polygon,17,111.96523166217,Polygon,1,115.22325963584
"Mediterranean Sea",Polygon,5,107.69812587094,Polygon,1,110.66806678626
"Arabian Sea",Polygon,2,346.13714172361,Polygon,1,348.20686275244
"Beaufort  Sea",Polygon,1,112.77444451753,Polygon,1,115.59865662796
"Caribbean  Sea",Polygon,41,238.08812959391,Polygon,1,246.98163147697
"Gulf of Mexico",Polygon,22,125.96787717446,Polygon,1,129.83837637695
"Labrador Sea",Polygon,6,127.6138665277,Polygon,1,135.58235914974
"Hudson Bay",Polygon,13,122.69133430898,Polygon,1,131.2459171449
"Caspian Sea",Polygon,6,41.089051720986,Polygon,1,43.7975419251
"Baffin Bay",Polygon,2,128.12986363052,Polygon,1,138.51118354529
"Gulf of Alaska",Polygon,18,62.876500866097,Polygon,1,66.837288418371
"Red Sea",Polygon,9,38.627596526649,Polygon,1,39.600148306667
"Sea of Okhotsk",Polygon,16,194.68323949942,Polygon,1,199.04652590911
"Ross  Sea",Polygon,2,161.71232511663,Polygon,1,165.93601673585
"Weddell  Sea",Polygon,12,449.74424941432,Polygon,2,490.64133126083
"Persian Gulf",Polygon,8,22.058353145175,Polygon,1,24.321735258972
"Ross  Sea",Polygon,11,440.1661125398,Polygon,1,473.26113785522
"Celebes Sea",Polygon,5,37.335168451296,Polygon,1,39.171738535721
"Sulu Sea",Polygon,6,26.766478876325,Polygon,1,28.680777591682
"Norwegian Sea",Polygon,21,340.82549172042,Polygon,1,351.12561082786
"Greenland Sea",Polygon,8,378.06622166085,Polygon,1,425.491901378
"Banda Sea",Polygon,22,59.560832364963,Polygon,1,66.093847414186
"Luzon Strait",Polygon,6,5.6007876167934,Polygon,1,5.7682271623745
"Bay of Biscay",Polygon,2,24.883655924813,Polygon,1,26.015683739978
"Mozambique Channel",Polygon,6,118.22148207637,Polygon,1,120.31487555437
"Gulf of Guinea",Polygon,2,52.013075090128,Polygon,1,52.914598153994
"Scotia Sea",Polygon,2,144.96072324672,Polygon,1,145.60478753983
"Baltic Sea",Polygon,9,30.417758557705,Polygon,1,32.696099672195
"Barents Sea",Polygon,22,436.73299394271,Polygon,1,459.70251284714
"North Sea",Polygon,7,73.315495811268,Polygon,1,81.716019293152
"Bristol Channel",Polygon,1,2.6911240108505,Polygon,1,2.8259155026111
"Inner Seas",Polygon,8,6.4804042906041,Polygon,1,8.8918862642347
"Irish Sea",Polygon,3,6.873095439818,Polygon,1,8.2652533884202
"Java Sea",Polygon,6,44.779345487318,Polygon,1,47.664629255468
"Andaman Sea",Polygon,27,51.10002401077,Polygon,1,52.670757791071
"Yellow Sea",Polygon,7,37.567101687331,Polygon,1,40.709064561274
"East China Sea",Polygon,12,67.205443245671,Polygon,1,69.499571831431
"Chukchi Sea",MultiPolygon,2,77.640765597184,MultiPolygon,2,81.795632810349
"Baha de Campeche",Polygon,2,13.656911789042,Polygon,1,13.934656788023
"Arafura Sea",Polygon,11,59.705348038249,Polygon,1,63.339707896592
"Timor Sea",Polygon,3,33.290740506975,Polygon,1,34.391072006864
"Gulf of Thailand",Polygon,8,24.559605288492,Polygon,1,25.711387024773
"Laccadive Sea",Polygon,5,66.803077982056,Polygon,1,67.227895614472
"Bellingshausen Sea",Polygon,8,58.228049759256,Polygon,1,64.119999784862
"Amundsen Sea",Polygon,2,27.630215052231,Polygon,1,33.140557108298
"Davis  Strait",Polygon,5,127.51806644932,Polygon,1,144.2010901545
"Kara Sea",Polygon,19,275.34445152511,Polygon,1,294.57092862062
"Laptev Sea",Polygon,8,145.98056824089,Polygon,1,154.91580566435
"Drake Passage",Polygon,1,81.958408209475,Polygon,1,82.522684688725
"Mediterranean Sea",Polygon,3,48.385328200597,Polygon,1,50.08006349962
"Great Australian Bight",Polygon,1,124.77036455333,Polygon,1,126.24392032269
"Gulf of Aden",Polygon,1,21.497817200828,Polygon,1,21.933161813536
"Gulf of Oman",Polygon,1,9.6815204813587,Polygon,1,9.909862528675
"Tyrrhenian Sea",Polygon,3,22.952500875906,Polygon,1,23.918870730012
"White  Sea",Polygon,3,18.426975945476,Polygon,1,23.578885442596
"Sea of Azov",Polygon,1,4.3775911639232,Polygon,1,5.0179571686841
"James Bay",Polygon,4,9.2464663876434,Polygon,1,10.876607425759
"Gulf of Carpentaria",Polygon,8,24.301453993122,Polygon,1,25.016152266288
"Golfo de California",Polygon,7,15.603893015822,Polygon,1,17.120873296211
