source,error,item
ne_10m_geography_marine_polys.geojson,"no match","-34.021912085777 -18.983919984549 SOUTH ATLANTIC OCEAN"
ne_10m_geography_marine_polys.geojson,"no match","18.728740476218 133.64248840316 Philippine Sea"
ne_10m_geography_marine_polys.geojson,"no match","59.754305552508 -85.316222898019 Hudson Bay"
ne_10m_geography_marine_polys.geojson,"no match","41.877649623277 50.699103416994 Caspian Sea"
ne_10m_geography_marine_polys.geojson,"no match","73.565703858885 -67.902368166763 Baffin Bay"
ne_10m_geography_marine_polys.geojson,"no match","-78.534451893882 172.49036987494 Ross  Sea"
ne_10m_geography_marine_polys.geojson,"no match","-76.379174434381 -47.257117512852 Weddell  Sea"
ne_10m_geography_marine_polys.geojson,"no match","-76.956662266802 -157.42892406809 Ross  Sea"
ne_10m_geography_marine_polys.geojson,"no match","3.7816847643026 121.89749021351 Celebes Sea"
ne_10m_geography_marine_polys.geojson,"no match","8.5753069700859 120.16728506202 Sulu Sea"
ne_10m_geography_marine_polys.geojson,"no match","-5.2782973053513 125.9283401369 Banda Sea"
ne_10m_geography_marine_polys.geojson,"no match","20.056384576299 121.32800611318 Luzon Strait"
ne_10m_geography_marine_polys.geojson,"no match","45.586675728227 -4.2496950522243 Bay of Biscay"
ne_10m_geography_marine_polys.geojson,"no match","-19.068602562263 41.005377240425 Mozambique Channel"
ne_10m_geography_marine_polys.geojson,"no match","3.0475119099252 2.8029433564637 Gulf of Guinea"
ne_10m_geography_marine_polys.geojson,"no match","-56.263863452224 -49.214128230258 Scotia Sea"
ne_10m_geography_marine_polys.geojson,"no match","51.171799948324 -4.9577762681882 Bristol Channel"
ne_10m_geography_marine_polys.geojson,"no locations found","56.42803008752 -6.264727535431 Inner Seas  ( 44 ) in naturalearthdata/ne_10m_geography_marine_polys.geojson"
