source,error,item
ne_10m_urban_areas_landscan.geojson,"no match","39.653506981988 20.83996624842 Ioanina"
ne_10m_urban_areas_landscan.geojson,"no match","52.062335581736 1.1903426528857 Ipswich"
ne_10m_urban_areas_landscan.geojson,"no match","-4.3250000000296 -40.712500000047 Ipu"
ne_10m_urban_areas_landscan.geojson,"no match","-7.7647260890861 35.698179872447 Iringa"
ne_10m_urban_areas_landscan.geojson,"no locations found","54.907433569589 71.277211067067 Isikul  ( 31 ) in naturalearthdata/ne_10m_urban_areas_landscan.geojson"
