source,error,item
ne_10m_urban_areas_landscan.geojson,"no match","15.458141025611 36.385064102508 Kassala"
ne_10m_urban_areas_landscan.geojson,"no match","-4.6226562500204 30.126953124946 Kasulu"
ne_10m_urban_areas_landscan.geojson,"no match","-14.46506410258 132.27403846145 Katherine"
ne_10m_urban_areas_landscan.geojson,"no match","-17.504830973049 24.27921652438 Katima Mulilo"
ne_10m_urban_areas_landscan.geojson,"no match","12.801911934665 7.8934810336984 Katsina"
ne_10m_urban_areas_landscan.geojson,"no match","39.943884615356 66.205064102502 Kattaqorgon"
ne_10m_urban_areas_landscan.geojson,"no match","-4.1786764706053 13.282598039176 Kayes"
ne_10m_urban_areas_landscan.geojson,"no match","14.442628205101 -11.433012820553 Kayes"
ne_10m_urban_areas_landscan.geojson,"no match","-31.078769841279 152.83392857135 Kempsey"
ne_10m_urban_areas_landscan.geojson,"no match","30.283083333301 57.068833333273 Kerman"
ne_10m_urban_areas_landscan.geojson,"no match","9.2697916666409 -9.011458333376 Kerouane"
ne_10m_urban_areas_landscan.geojson,"no match","17.236970899439 80.167085537851 Khammam"
ne_10m_urban_areas_landscan.geojson,"no match","17.400694444419 104.78624999993 Khammouan"
ne_10m_urban_areas_landscan.geojson,"no match","60.996305031417 69.029481132024 Khanty Mansiysk"
ne_10m_urban_areas_landscan.geojson,"no match","52.654166666636 -7.2458333333742 Kilkenny"
ne_10m_urban_areas_landscan.geojson,"no match","52.056944444413 -9.4986111111491 Killarney"
ne_10m_urban_areas_landscan.geojson,"no match","-6.8037962963208 37.026759259199 Kilosa"
ne_10m_urban_areas_landscan.geojson,"no match","49.875131578918 -119.43188596493 Kilowna"
ne_10m_urban_areas_landscan.geojson,"no match","44.253476645404 -76.533731422531 Kingston"
ne_10m_urban_areas_landscan.geojson,"no match","48.51517584095 32.255619266012 Kirovohrad"
ne_10m_urban_areas_landscan.geojson,"no match","9.1952380952152 -10.100892857186 Kissidougou"
ne_10m_urban_areas_landscan.geojson,"no match","3.2930555555311 32.883333333275 Kitgum"
ne_10m_urban_areas_landscan.geojson,"no match","52.753513071863 32.24027777773 Klintsy"
