source,error,item
ne_10m_urban_areas_landscan.geojson,"no match","1.0157050287452 34.135525186408 Mbale"
ne_10m_urban_areas_landscan.geojson,"no match","-6.2706259420218 14.239162841972 Mbanza-Congo"
ne_10m_urban_areas_landscan.geojson,"no match","-0.58643453255133 30.637404433628 Mbarara"
ne_10m_urban_areas_landscan.geojson,"no match","-8.9040142926862 33.458671514769 Mbeya"
ne_10m_urban_areas_landscan.geojson,"no match","-3.8507231015947 35.532103862178 Mbulu"
ne_10m_urban_areas_landscan.geojson,"no match","51.409188044671 57.590272353601 Mednogorsk"
ne_10m_urban_areas_landscan.geojson,"no match","28.099788113046 -80.674230632885 Melbourne"
ne_10m_urban_areas_landscan.geojson,"no match","-32.36679633353 -54.165999281802 Melo"
ne_10m_urban_areas_landscan.geojson,"no match","50.930452129856 -102.80387927073 Melville"
ne_10m_urban_areas_landscan.geojson,"no match","-34.652993082965 -59.428148346187 Mercedes"
ne_10m_urban_areas_landscan.geojson,"no match","-33.675836475937 -65.450927177057 Mercedes"
ne_10m_urban_areas_landscan.geojson,"no match","-33.255859575122 -58.028000802138 Mercedes"
ne_10m_urban_areas_landscan.geojson,"no match","-29.183333333357 -58.079166666669 Mercedes"
ne_10m_urban_areas_landscan.geojson,"no match","20.974385610079 -89.619363440303 Merida"
ne_10m_urban_areas_landscan.geojson,"no match","-31.49173650431 25.008198894266 Middelburg"
ne_10m_urban_areas_landscan.geojson,"no match","-25.766878207049 29.461030894115 Middelburg"
ne_10m_urban_areas_landscan.geojson,"no match","25.547674924472 68.972278110025 Mirput Khas"
ne_10m_urban_areas_landscan.geojson,"no match","32.371450966358 15.093837824724 Misratah"
ne_10m_urban_areas_landscan.geojson,"no match","50.417268966523 -73.869758721508 Mistassini"
ne_10m_urban_areas_landscan.geojson,"no match","31.940371421303 131.43097296439 Miyazaki"
ne_10m_urban_areas_landscan.geojson,"no match","-1.5540556153964 13.225521726269 Moanda"
ne_10m_urban_areas_landscan.geojson,"no match","-7.0724750770568 29.729759564376 Moba"
ne_10m_urban_areas_landscan.geojson,"no match","-15.037112572165 40.737083429605 Mocambique"
ne_10m_urban_areas_landscan.geojson,"no match","43.7604862288 7.4469212492197 Monaco"
ne_10m_urban_areas_landscan.geojson,"no match","26.907659631416 -101.42704956174 Monclova"
ne_10m_urban_areas_landscan.geojson,"no match","12.187499999976 18.687499999953 Mongo"
ne_10m_urban_areas_landscan.geojson,"no match","6.3196435017614 -10.731178993251 Monrovia"
ne_10m_urban_areas_landscan.geojson,"no match","19.843938989472 -71.645556935664 Monte Cristi"
ne_10m_urban_areas_landscan.geojson,"no match","42.320014668605 -111.30359622895 Montpelier"
ne_10m_urban_areas_landscan.geojson,"no match","-17.183682672474 -70.93372209987 Moquegua"
ne_10m_urban_areas_landscan.geojson,"no match","-29.473457570636 149.83770731388 Moree"
ne_10m_urban_areas_landscan.geojson,"no match","-11.651412059386 43.262283743478 Moroni"
ne_10m_urban_areas_landscan.geojson,"no match","2.5291666666449 34.63749999995 Moroto"
ne_10m_urban_areas_landscan.geojson,"no match","53.447687608078 41.81400781009 Morshansk"
ne_10m_urban_areas_landscan.geojson,"no match","3.6441347434097 31.721384458666 Moyo"
ne_10m_urban_areas_landscan.geojson,"no match","-6.3491997628012 36.484275447289 Mpwapwa"
ne_10m_urban_areas_landscan.geojson,"no match","-10.318273331741 40.185352809863 Mtwara"
ne_10m_urban_areas_landscan.geojson,"no match","0.59583333328507 31.366666666604 Mubende"
ne_10m_urban_areas_landscan.geojson,"no locations found for 44.587909860345 129.62592995345 Mudangiang","225 in naturalearthdata/ne_10m_urban_areas_landscan.geojson"
