source,error,item
ne_10m_admin_0_countries_lakes.geojson,"no match","-49.065151470725 68.992134044778 French Southern and Antarctic Lands France"
ne_10m_admin_0_countries_lakes.geojson,"no match","15.795009963377 -79.987865859317 Bajo Nuevo Bank (Petrel Is.) Bajo Nuevo Bank (Petrel Is.)"
ne_10m_admin_0_countries_lakes.geojson,"no match","10.297389383682 -109.22126424251 Clipperton Island France"
ne_10m_admin_0_countries_lakes.geojson,"no match","-0.83887998509496 15.218336166443 Republic of Congo Republic of Congo"
ne_10m_admin_0_countries_lakes.geojson,"no match","-21.029283678667 154.39036434567 Coral Sea Islands Australia"
ne_10m_admin_0_countries_lakes.geojson,"no match","35.017796409313 33.792997458695 Dhekelia Sovereign Base Area United Kingdom"
ne_10m_admin_0_countries_lakes.geojson,"no match","42.168800777093 43.507526330443 Georgia Georgia"
ne_10m_admin_0_countries_lakes.geojson,"no match","49.484517370076 -2.5316347066127 Guernsey United Kingdom"
ne_10m_admin_0_countries_lakes.geojson,"no match","54.229101900397 -4.5336950830837 Isle of Man United Kingdom"
ne_10m_admin_0_countries_lakes.geojson,"no match","-10.692174091831 104.61939744151 Indian Ocean Territories Australia"
ne_10m_admin_0_countries_lakes.geojson,"no match","-7.1443312202551 72.298814820815 British Indian Ocean Territory United Kingdom"
ne_10m_admin_0_countries_lakes.geojson,"no match","49.221064211059 -2.127430814464 Jersey United Kingdom"
ne_10m_admin_0_countries_lakes.geojson,"no match","45.978330138225 63.383897003138 Baykonur Cosmodrome Kazakhstan"
ne_10m_admin_0_countries_lakes.geojson,"no match","35.39108198128 77.179952798743 Siachen Glacier Kashmir"
ne_10m_admin_0_countries_lakes.geojson,"no match","15.152112822 117.75381196333 Scarborough Reef Scarborough Reef"
ne_10m_admin_0_countries_lakes.geojson,"no match","15.864460896333 -78.638118727667 Serranilla Bank Serranilla Bank"
ne_10m_admin_0_countries_lakes.geojson,"no match","19.929253704255 -75.154672933296 US Naval Base Guantanamo Bay Cuba"
ne_10m_admin_0_countries_lakes.geojson,"no match","34.631813284865 32.933994860348 Akrotiri Sovereign Base Area United Kingdom"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"no match","12.516935269105 -69.974200749959 ABW- (Aruba aggregation) Aruba  "
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"no match","32.603043509257 62.283569386075 Farah Afghanistan  "
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"no match","33.358015272816 69.833140689059 Khost Afghanistan  "
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"no match","34.955869445812 71.077995784108 Kunar Afghanistan Konarha Kunarha "
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"no match","36.845988291497 68.741476263115 Kunduz Afghanistan Kondoz Qonduz Qunduz "
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"no match","35.798778343198 68.910879251224 Baghlan Afghanistan Baglan Bughlan "
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"no match","34.553839135814 69.322396129708 Kabul Afghanistan Cabul Kabol Kaboul "
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"no match","34.761920504696 70.145358137778 Laghman Afghanistan Lagman "
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"no match","18.225794611456 -63.061548345817 AIA- (Anguilla aggregation) Anguilla  "
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"no match","18.598049220695 -63.426787889649 AIA- (Anguilla minor island) Anguilla  "
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"no match","42.541326525323 1.5607562412075 AND- (Andorra aggregation) Andorra  "
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"no match","25.873936109242 55.03409813 Hormozgan United Arab Emirates Banader va Jazayer-e Bahr-e Oman Ports and Islands of the Sea of Oman Saheli "
