source,error,item
ne_10m_parks_and_protected_lands_area.geojson,"no match","28.780153362867 -80.758774801719 Canaveral NS National Seashore"
ne_10m_parks_and_protected_lands_area.geojson,"no match","34.110195850543 -118.73211421632 Santa Monica Mountains NRA National Recreation Area"
ne_10m_parks_and_protected_lands_area.geojson,"no match","35.139472025268 -115.53698127404 Mojave N PRES National Preserve"
ne_10m_parks_and_protected_lands_area.geojson,"no match","65.106421747931 -142.82650344816 Yukon-Charley Rivers N PRES National Preserve"
ne_10m_parks_and_protected_lands_area.geojson,"no match","67.985224301404 -159.83323164676 Noatak N PRES National Preserve"
ne_10m_parks_and_protected_lands_area.geojson,"no match","32.780543674231 -106.322017664 White Sands NM National Monument"
ne_10m_parks_and_protected_lands_area.geojson,"no match","60.58952566857 -153.53363299666 Lake Clark NP & PRES National Park and Preserve"
ne_10m_parks_and_protected_lands_area.geojson,"no match","61.351271611287 -142.55663912301 Wrangell-St. Elias NP & PRES National Park and Preserve"
ne_10m_parks_and_protected_lands_area.geojson,"no match","35.967699407227 -114.20941059556 Lake Mead NRA National Recreation Area"
ne_10m_parks_and_protected_lands_area.geojson,"no match","37.536075129031 -110.69032352701 Glen Canyon NRA National Recreation Area"
