source,error,item
ne_10m_admin_0_countries_lakes.geojson,"no match","-48.409273980748 68.838334608321 French Southern and Antarctic Lands France"
ne_10m_admin_0_countries_lakes.geojson,"no match","15.793776020616 -79.986665212985 Bajo Nuevo Bank (Petrel Is.) Bajo Nuevo Bank (Petrel Is.)"
ne_10m_admin_0_countries_lakes.geojson,"no match","10.288985660575 -109.22061822975 Clipperton Island France"
ne_10m_admin_0_countries_lakes.geojson,"no match","-0.88353216037564 15.053846290706 Republic of Congo Republic of Congo"
ne_10m_admin_0_countries_lakes.geojson,"no match","-21.03528328878 154.3816227045 Coral Sea Islands Australia"
ne_10m_admin_0_countries_lakes.geojson,"no match","35.02937367692 33.803549083002 Dhekelia Sovereign Base Area United Kingdom"
ne_10m_admin_0_countries_lakes.geojson,"no match","42.163076564958 43.514252986474 Georgia Georgia"
ne_10m_admin_0_countries_lakes.geojson,"no match","49.539885550818 -2.3944293335887 Guernsey United Kingdom"
ne_10m_admin_0_countries_lakes.geojson,"no match","54.230760388063 -4.5375054418858 Isle of Man United Kingdom"
ne_10m_admin_0_countries_lakes.geojson,"no match","-10.954093676348 103.24677486715 Indian Ocean Territories Australia"
ne_10m_admin_0_countries_lakes.geojson,"no match","-6.1498068120119 71.749128605816 British Indian Ocean Territory United Kingdom"
ne_10m_admin_0_countries_lakes.geojson,"no match","49.216930603501 -2.1250903207382 Jersey United Kingdom"
ne_10m_admin_0_countries_lakes.geojson,"no match","45.977479396361 63.381805380935 Baykonur Cosmodrome Kazakhstan"
ne_10m_admin_0_countries_lakes.geojson,"no match","35.407496305314 77.205431320885 Siachen Glacier Kashmir"
ne_10m_admin_0_countries_lakes.geojson,"no match","15.150767013843 117.75281523154 Scarborough Reef Scarborough Reef"
ne_10m_admin_0_countries_lakes.geojson,"no match","15.865529268578 -78.639363939293 Serranilla Bank Serranilla Bank"
ne_10m_admin_0_countries_lakes.geojson,"no locations found","9.7412038211173 46.23173606668 Somaliland  ( 206 ) in naturalearthdata/ne_10m_admin_0_countries_lakes.geojson"
