source,status,item
ne_10m_urban_areas_landscan.geojson,"API returned no results for search","23.57565689602 120.42234525335 Chiai  (feature #1101)"
ne_10m_urban_areas_landscan.geojson,"No API results matched feature","19.916655439057 99.843013274607 Chiang Rai  (feature #1103)"
ne_10m_urban_areas_landscan.geojson,"No API results matched feature","28.664594567457 -106.08027751087 Chihuahua  (feature #1112)"
ne_10m_urban_areas_landscan.geojson,"No API results matched feature","-29.166135964283 -67.495169790035 Chilecito  (feature #1115)"
ne_10m_urban_areas_landscan.geojson,"No API results matched feature","12.648403877972 -87.151559978954 Chinandega  (feature #1122)"
ne_10m_urban_areas_landscan.geojson,"No API results matched feature","-21.037999430789 31.675506029645 Chiredzi  (feature #1133)"
ne_10m_urban_areas_landscan.geojson,"No API results matched feature","52.043986677271 113.47918595347 Chita  (feature #1136)"
ne_10m_urban_areas_landscan.geojson,"No API results matched feature","-9.7014722783521 33.276454172377 Chitipa  (feature #1137)"
