source,status,item
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","-48.409273980748 68.838334608321 French Southern and Antarctic Lands France  (feature #12)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","15.793776020616 -79.986665212985 Bajo Nuevo Bank (Petrel Is.) Bajo Nuevo Bank (Petrel Is.)  (feature #26)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","10.288985660575 -109.22061822975 Clipperton Island France  (feature #43)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","-0.88353216037564 15.053846290706 Republic of Congo Republic of Congo  (feature #47)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","-21.03528328878 154.3816227045 Coral Sea Islands Australia  (feature #53)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","35.02937367692 33.803549083002 Dhekelia Sovereign Base Area United Kingdom  (feature #69)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","42.163076564958 43.514252986474 Georgia Georgia  (feature #81)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","49.539885550818 -2.3944293335887 Guernsey United Kingdom  (feature #82)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","54.230760388063 -4.5375054418858 Isle of Man United Kingdom  (feature #102)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","-10.954093676348 103.24677486715 Indian Ocean Territories Australia  (feature #104)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","-6.1498068120119 71.749128605816 British Indian Ocean Territory United Kingdom  (feature #105)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","49.216930603501 -2.1250903207382 Jersey United Kingdom  (feature #113)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","45.977479396361 63.381805380935 Baykonur Cosmodrome Kazakhstan  (feature #116)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature","35.407496305314 77.205431320885 Siachen Glacier Kashmir  (feature #117)"
