source,status,item
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","12.518716099474 -69.979241677656 Aruba  (feature #0, WOEID: 23424736)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","33.89070145016 66.119001817385 Afghanistan  (feature #1, WOEID: 23424739)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-12.204938048635 17.512855752512 Angola  (feature #2, WOEID: 23424745)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","18.345124565526 -63.181619934911 Anguilla United Kingdom  (feature #3, WOEID: 23424751)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","41.123369711805 20.063016883782 Albania  (feature #4, WOEID: 23424742)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","60.175616454766 20.395181939668 Aland  (feature #5, WOEID: 12577865)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","42.539500074997 1.5629648388604 Andorra  (feature #6, WOEID: 23424744)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","23.993869923372 54.228126487208 United Arab Emirates  (feature #7, WOEID: 23424738)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-35.618508361557 -65.194801111813 Argentina  (feature #8, WOEID: 23424747)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","40.258841260538 45.008636858591 Armenia  (feature #9, WOEID: 23424743)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-14.159247565069 -170.17340195053 American Samoa  (feature #10, WOEID: 23424746)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-80.326222858841 16.558715455051 Antarctica  (feature #11, WOEID: 28289409)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature.","-48.409273980748 68.838334608321 French Southern and Antarctic Lands France  (feature #12)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","17.346390223729 -61.799437827716 Antigua and Barbuda  (feature #13, WOEID: 23424737)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-25.806729879686 134.64273507717 Australia  (feature #14, WOEID: 23424748)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","47.599079341801 14.04012643234 Austria  (feature #15, WOEID: 23424750)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","40.22524748925 47.387829568274 Azerbaijan  (feature #16, WOEID: 23424741)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-3.2339966434243 29.921680359525 Burundi  (feature #17, WOEID: 23424774)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","50.623507839389 4.6635466856114 Belgium  (feature #18, WOEID: 23424757)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","9.6520402859876 2.327707928179 Benin  (feature #19, WOEID: 23424764)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","12.247813915344 -1.7705164917783 Burkina Faso  (feature #20, WOEID: 23424978)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","23.779491121911 90.333885439024 Bangladesh  (feature #21, WOEID: 23424759)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","42.769518563795 25.233102641208 Bulgaria  (feature #22, WOEID: 23424771)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","26.051903166242 50.537376436333 Bahrain  (feature #23, WOEID: 23424753)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","24.216820208095 -76.363166477959 The Bahamas  (feature #24, WOEID: 23424758)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","44.169389560671 17.827736816847 Bosnia and Herzegovina  (feature #25, WOEID: 23424761)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature.","15.793776020616 -79.986665212985 Bajo Nuevo Bank (Petrel Is.) Bajo Nuevo Bank (Petrel Is.)  (feature #26)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","17.90983792196 -62.835894899622 Saint Barthelemy  (feature #27, WOEID: 56042304)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","53.509625522692 28.055977342251 Belarus  (feature #28, WOEID: 23424765)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","17.28373285057 -88.580673605992 Belize  (feature #29, WOEID: 23424760)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","32.31893464449 -64.764308526521 Bermuda  (feature #30, WOEID: 23424756)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-16.715768258842 -64.663753919381 Bolivia  (feature #31, WOEID: 23424762)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-10.779323352122 -53.151750529541 Brazil  (feature #32, WOEID: 23424768)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","13.188340826343 -59.558597817064 Barbados  (feature #33, WOEID: 23424754)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","4.5210997284001 114.7654880564 Brunei  (feature #34, WOEID: 23424773)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","27.425497970502 90.425768068842 Bhutan  (feature #35, WOEID: 23424770)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-22.192582579659 23.807540417637 Botswana  (feature #36, WOEID: 23424755)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","6.5408022322323 20.477331965804 Central African Republic  (feature #37, WOEID: 23424792)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","62.642288569615 -97.090283636632 Canada  (feature #38, WOEID: 23424775)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","46.751117702322 8.2560557887708 Switzerland  (feature #39, WOEID: 23424957)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-39.773383666366 -71.624240338318 Chile  (feature #40, WOEID: 23424782)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","36.543169078848 104.12845364895 China  (feature #41, WOEID: 23424781)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","7.658270011028 -5.6130975212709 Ivory Coast  (feature #42, WOEID: 23424854)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature.","10.288985660575 -109.22061822975 Clipperton Island France  (feature #43)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","5.8852406498538 12.793747714165 Cameroon  (feature #44, WOEID: 23424785)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","35.099286768629 33.327003836787 Cyprus No Mans Area  (feature #45, WOEID: 26812346)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-2.9313073503646 23.596045689285 Democratic Republic of the Congo  (feature #46, WOEID: 23424779)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature.","-0.88353216037564 15.053846290706 Republic of Congo Republic of Congo  (feature #47)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-20.290925737859 -158.35061525004 Cook Islands  (feature #48, WOEID: 23424795)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","3.8702755241909 -73.035588700539 Colombia  (feature #49, WOEID: 23424787)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-12.012900042307 43.796003577081 Comoros  (feature #50, WOEID: 23424786)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","15.919430703715 -23.818592341412 Cape Verde  (feature #51, WOEID: 23424794)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","9.8744988584788 -84.145336982837 Costa Rica  (feature #52, WOEID: 23424791)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature.","-21.03528328878 154.3816227045 Coral Sea Islands Australia  (feature #53)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","21.654425888591 -79.462494456115 Cuba  (feature #54, WOEID: 23424793)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","12.207850410298 -68.97342695636 Curaçao  (feature #55, WOEID: 56558057)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","19.446986133163 -80.838065894209 Cayman Islands  (feature #56, WOEID: 23424783)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","35.255954272895 33.576068690387 Northern Cyprus  (feature #57, WOEID: 23424995)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","34.937532144263 33.081047981083 Cyprus  (feature #58, WOEID: 26812346)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","49.748513913146 15.336103125727 Czech Republic  (feature #59, WOEID: 23424810)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","51.170959342499 10.360605563083 Germany  (feature #60, WOEID: 23424829)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","11.761482295826 42.603700757114 Djibouti  (feature #61, WOEID: 23424797)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","15.425517465899 -61.366004419416 Dominica  (feature #62, WOEID: 23424798)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","55.990934984205 10.353119117543 Denmark  (feature #63, WOEID: 23424796)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","18.875699560807 -70.463319869445 Dominican Republic  (feature #64, WOEID: 23424800)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","28.181958501017 2.6548004843395 Algeria  (feature #65, WOEID: 23424740)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-1.3517472060161 -79.991691770134 Ecuador  (feature #66, WOEID: 23424801)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","26.533609114162 29.940876081491 Egypt  (feature #67, WOEID: 23424802)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","15.326509486384 38.971866273309 Eritrea  (feature #68, WOEID: 23424806)"
ne_10m_admin_0_countries_lakes.geojson,"No API results matched feature.","35.02937367692 33.803549083002 Dhekelia Sovereign Base Area United Kingdom  (feature #69)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","39.74687005519 -3.4628595033897 Spain  (feature #70, WOEID: 23424950)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","58.625565107271 25.18426800985 Estonia  (feature #71, WOEID: 23424805)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","8.6566867621687 39.593171415464 Ethiopia  (feature #72, WOEID: 23424808)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","64.52216670494 26.222827982054 Finland  (feature #73, WOEID: 23424812)"
ne_10m_admin_0_countries_lakes.geojson,"Success! Matched feature to API result.","-17.887021632888 67.394017230907 Fiji  (feature #74, WOEID: 23424813)"
