source,status,item
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search","48.505028759233 19.492476349112 Banskobystrický  (feature #2810)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search","49.174169811862 19.154662074845 ilinský  (feature #2811)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","49.174169811862 19.154662074845 ilinský Slovakia ilina   (feature #2811)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","48.691083493661 21.272894737579 Koický Slovakia Koice   (feature #2815)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","49.115022670457 21.187676108932 Preov Slovakia    (feature #2816)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","45.84633727453 14.584847359042 Velike Lace Slovenia    (feature #2817)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","46.370541547393 15.132639923456 Velenje Slovenia    (feature #2818)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","46.406384824458 15.294297442537 Vitanje Slovenia    (feature #2819)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","46.17620574318 14.491820896849 Vodice Slovenia    (feature #2820)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","45.963300266622 14.310389521145 Vrhnika Slovenia    (feature #2821)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","46.573563967874 15.165055993022 Vuzenica Slovenia    (feature #2822)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search","46.153426659326 14.932392943365 Zasavska  (feature #2823)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","46.153426659326 14.932392943365 Zasavska Slovenia    (feature #2823)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","46.405531462923 15.362993201267 Zrece Slovenia    (feature #2824)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","46.375180847259 14.032055640746 Bled Slovenia    (feature #2825)"
