source,status,item
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-12.165340210126 96.840380977691 Cocos (Keeling) Islands Indian Ocean Territories  (feature #1400)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-10.495950407233 105.66116248708 Christmas Island Indian Ocean Territories  (feature #1401)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-6.1498068058875 71.749128607236 IOT- (Br. Indian Ocean Ter. aggregation) British Indian Ocean Territory  (feature #1402)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","52.167460986549 -7.5626790628323 Waterford  (feature #1403, WOEID: 2345271)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","54.152544478342 -6.9376174647983 Monaghan  (feature #1404, WOEID: 2345266)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","53.925163385219 -6.3882235370708 Louth Ireland Lú  (feature #1405)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","53.341702517194 -9.0199864518255 Galway  (feature #1406, WOEID: 2345255)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","53.9327613133 -9.4247781079881 Mayo Ireland Maigh Eo  (feature #1407)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","53.631691506203 -6.779812090135 Meath  (feature #1408, WOEID: 2345265)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","53.19668875428 -7.6016792867057 Offaly  (feature #1409, WOEID: 2345267)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","53.536491769033 -7.4511662432907 Westmeath  (feature #1410, WOEID: 2345272)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","52.438566051811 -6.5745070619999 Wexford Ireland  (feature #1411, WOEID: 2345273)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","52.956157785939 -6.3741195526243 Wicklow  (feature #1412, WOEID: 2345274)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","53.395587946456 -6.2779748047827 Dublin  (feature #1413, WOEID: 560743)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","53.186384986852 -6.8115260590262 Kildare Ireland Cill Dara  (feature #1414)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","52.585393554836 -7.2521242352243 Kilkenny Ireland  (feature #1415, WOEID: 2345258)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","52.975233853537 -7.3384720211277 Laoighis  (feature #1416, WOEID: 2345260)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","52.632864052428 -7.9527915273183 Tipperary  (feature #1417, WOEID: 2345270)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","52.110301244362 -9.7685506600324 Kerry  (feature #1418, WOEID: 2345256)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","52.479078033712 -8.7188348887105 Limerick  (feature #1419, WOEID: 2345261)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","53.722864318246 -8.2847871333626 Roscommon Ireland  (feature #1420, WOEID: 2345268)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","54.172875782802 -8.6126364732232 Sligo Ireland  (feature #1421, WOEID: 2345269)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","54.925725653378 -7.9246034940385 Donegal Ireland Dún na nGall Tyrconnel  (feature #1422)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","54.133878533535 -8.0153395212808 Leitrim  (feature #1423, WOEID: 20073913)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","53.714155818248 -7.7157846764142 Longford Ireland An Longfort  (feature #1424)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","52.842332097545 -9.0614172279074 Clare  (feature #1425, WOEID: 2345251)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","52.730573220406 -6.814426295756 Carlow  (feature #1426, WOEID: 2345249)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","51.901419898661 -8.9212766625249 Cork  (feature #1427, WOEID: 2345252)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","54.008688955045 -7.3925451618386 Cavan  (feature #1428, WOEID: 2345250)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","30.807915462631 50.747656318732 Kohgiluyeh and Buyer Ahmad Iran Bovir Ahmadi and Kohkiluyeh Boyer-Ahmad and Koh-Giluye Boyer Ahmad e Kohkiluyeh Boyer Ahmadi-ye Sardir va Kohkiluyeh Kohgil  (feature #1429)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","28.8643901758 51.329588098621 Bushehr  (feature #1430, WOEID: 2254463)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","33.119980749575 52.418431366841 Esfahan  (feature #1431, WOEID: 2345787)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","29.339946225698 53.14097706584 Fars  (feature #1432, WOEID: 2345772)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","37.289425660797 55.017852279633 Golestan  (feature #1433, WOEID: 20070201)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","36.383832903149 52.384137307025 Mazandaran  (feature #1434, WOEID: 2345780)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","35.499422273726 54.643706895354 Semnan  (feature #1435, WOEID: 2345784)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","35.648551889464 51.555326829767 Tehran  (feature #1436, WOEID: 2251945)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","32.577436564657 55.647950732058 Yazd  (feature #1437, WOEID: 2253355)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","31.942831716914 50.649757592972 Chahar Mahall and Bakhtiari Iran Bakhtiari Chaharmahal va Bakhtiyari Charmahal-Bakhtiyari  (feature #1438)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","31.450630667557 48.977617055889 Khuzestan  (feature #1439, WOEID: 2345778)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","33.486302647015 48.422189553516 Lorestan  (feature #1440, WOEID: 2345782)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","33.218578656816 46.863331689059 Ilam  (feature #1441, WOEID: 2254714)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","27.110360539507 56.07146029287 Hormozgan  (feature #1442, WOEID: 2345776)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","38.504468313824 47.88097101509 Ardebil  (feature #1443, WOEID: 2254335)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","34.553112009967 49.952365614439 Markazi  (feature #1444, WOEID: 2345783)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","34.682705691383 50.962610094571 Qom  (feature #1445, WOEID: 2255062)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","34.873558621728 48.564453871405 Hamadan  (feature #1446, WOEID: 2345774)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","36.495980535599 48.376726423408 Zanjan  (feature #1447, WOEID: 2255311)"
