source,status,item
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","-12.165340210126 96.840380977691 Cocos (Keeling) Islands Indian Ocean Territories    (feature #1400)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","-10.495950407233 105.66116248708 Christmas Island Indian Ocean Territories    (feature #1401)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature","-6.1498068058875 71.749128607236 IOT- (Br. Indian Ocean Ter. aggregation) British Indian Ocean Territory    (feature #1402)"
