source,error,item
ne_10m_urban_areas_landscan.geojson,"no match","51.39505592559 21.17261219435 Radom"
ne_10m_urban_areas_landscan.geojson,"no match","9.4512039539059 77.578840316834 Rajapalaiyam"
ne_10m_urban_areas_landscan.geojson,"no match","16.869871853264 96.140288476163 Rangoon"
ne_10m_urban_areas_landscan.geojson,"no match","-21.234099691643 -159.73610293425 Rarotonga"
ne_10m_urban_areas_landscan.geojson,"no match","25.778234451355 55.964147196959 Ras al Khaymah"
ne_10m_urban_areas_landscan.geojson,"no match","-43.29861883642 -65.098547651294 Rawson"
ne_10m_urban_areas_landscan.geojson,"no match","51.016666666629 -93.825000000048 Red Lake"
ne_10m_urban_areas_landscan.geojson,"no match","-24.497518662325 -47.847654829875 Registro"
ne_10m_urban_areas_landscan.geojson,"no match","-27.454579051236 -58.982597991046 Resistencia"
ne_10m_urban_areas_landscan.geojson,"no match","38.765123883642 -112.08589775931 Richmond"
ne_10m_urban_areas_landscan.geojson,"no match","39.832904082433 -84.891022201182 Richmond"
ne_10m_urban_areas_landscan.geojson,"no match","-33.608878946344 150.74679671036 Richmond"
ne_10m_urban_areas_landscan.geojson,"no match","-20.729166666666 143.13749999993 Richmond"
ne_10m_urban_areas_landscan.geojson,"no match","54.179166666628 -58.454166666699 Rigolet"
ne_10m_urban_areas_landscan.geojson,"no match","21.932973604005 -100.01508225603 Rio Verde"
ne_10m_urban_areas_landscan.geojson,"no match","11.442743762282 -85.820960895132 Rivas"
ne_10m_urban_areas_landscan.geojson,"no match","40.953353697486 40.447459582867 Rize"
ne_10m_urban_areas_landscan.geojson,"no match","44.030381524613 -92.478117325328 Rochester"
ne_10m_urban_areas_landscan.geojson,"no match","-30.212568355218 -69.133514418221 Rodeo"
ne_10m_urban_areas_landscan.geojson,"no match","28.932694683549 76.533405543198 Rohtak"
ne_10m_urban_areas_landscan.geojson,"no match","-26.571487779449 148.78401852265 Roma"
ne_10m_urban_areas_landscan.geojson,"no match","-2.9332810145306 -44.25636293352 Rosario"
ne_10m_urban_areas_landscan.geojson,"no match","-24.424199762763 -57.115724552647 Rosario"
ne_10m_urban_areas_landscan.geojson,"no match","15.295701860228 -61.371786969181 Roseau"
ne_10m_urban_areas_landscan.geojson,"no match","57.192521755185 39.415697887064 Rostov"
ne_10m_urban_areas_landscan.geojson,"no match","54.623194902355 39.7087569821 Ryazan"
ne_10m_urban_areas_landscan.geojson,"no match","27.043782771408 14.42407600734 Sabha"
ne_10m_urban_areas_landscan.geojson,"no match","16.964032575424 43.713846165384 Sadah"
ne_10m_urban_areas_landscan.geojson,"no match","12.046076701156 -61.745565660116 Saint GeorgeÛªs"
ne_10m_urban_areas_landscan.geojson,"no match","46.126193360304 -70.668400068545 Saint-Georges"
ne_10m_urban_areas_landscan.geojson,"no match","3.9041666666477 -51.812500000026 Saint-Georges"
ne_10m_urban_areas_landscan.geojson,"no match","16.023074555353 -16.482448001047 Saint-Louis"
ne_10m_urban_areas_landscan.geojson,"no match","17.18993187035 104.11925750358 Sakhon Nakhon"
ne_10m_urban_areas_landscan.geojson,"no match","20.569791643692 -101.19381916143 Salamanca"
ne_10m_urban_areas_landscan.geojson,"no match","-31.77916666669 -70.966666666686 Salamanca"
ne_10m_urban_areas_landscan.geojson,"no match","-33.004780844526 17.936861017795 Saldanha"
ne_10m_urban_areas_landscan.geojson,"no match","-38.106419050963 147.07620390238 Sale"
ne_10m_urban_areas_landscan.geojson,"no match","-2.2000000000192 -80.9875 Salinas"
ne_10m_urban_areas_landscan.geojson,"no match","39.665349931474 67.020170526877 Samarqand"
ne_10m_urban_areas_landscan.geojson,"no match","-2.5301725375193 112.96133952278 Sampit"
ne_10m_urban_areas_landscan.geojson,"no match","13.303774608959 -4.897154631787 San"
ne_10m_urban_areas_landscan.geojson,"no match","-33.559514663732 -71.607931553987 San Antonio"
ne_10m_urban_areas_landscan.geojson,"no match","-17.404908145775 -63.729808710498 San Carlos"
ne_10m_urban_areas_landscan.geojson,"no match","7.8010062880363 -72.248850243288 San Cristobal"
ne_10m_urban_areas_landscan.geojson,"no match","31.021637411618 -114.84525605619 San Felipe"
ne_10m_urban_areas_landscan.geojson,"no match","-32.748642917256 -70.720680647315 San Felipe"
ne_10m_urban_areas_landscan.geojson,"no match","10.320882171116 -61.455823608704 San Fernando"
ne_10m_urban_areas_landscan.geojson,"no match","24.849150118904 -98.146457502619 San Fernando"
ne_10m_urban_areas_landscan.geojson,"no match","-34.585456321917 -70.983256799946 San Fernando"
ne_10m_urban_areas_landscan.geojson,"no match","-31.429030498254 -62.08115763624 San Francisco"
ne_10m_urban_areas_landscan.geojson,"no match","0.60027996377021 -77.825820496056 San Gabriel"
ne_10m_urban_areas_landscan.geojson,"no match","-16.274520425937 -62.507150550606 San Javier"
ne_10m_urban_areas_landscan.geojson,"no match","2.5657582632459 -72.638757670629 San Jose del Guaviare"
ne_10m_urban_areas_landscan.geojson,"no match","9.954362702952 -84.153396114145 San Jose"
ne_10m_urban_areas_landscan.geojson,"no match","13.929084802846 -90.835852198137 San Jose"
ne_10m_urban_areas_landscan.geojson,"no match","-26.666895538307 -57.143408026633 San Juan Bautista"
ne_10m_urban_areas_landscan.geojson,"no match","-31.529547129437 -68.516172413176 San Juan"
ne_10m_urban_areas_landscan.geojson,"no match","-28.133393907331 -58.766566862253 San Lorenzo"
ne_10m_urban_areas_landscan.geojson,"no match","22.160275018656 -100.96701621237 San Luis Potosi"
ne_10m_urban_areas_landscan.geojson,"no match","16.19986556097 -89.441596829065 San Luis"
ne_10m_urban_areas_landscan.geojson,"no match","-33.29901088512 -66.335974521385 San Luis"
ne_10m_urban_areas_landscan.geojson,"no match","-33.067689223974 -68.510348577805 San Martin"
ne_10m_urban_areas_landscan.geojson,"no match","3.6975551070402 -73.696286643925 San Martin"
ne_10m_urban_areas_landscan.geojson,"no match","14.069536602836 121.32857376882 San Pablo"
ne_10m_urban_areas_landscan.geojson,"no match","-24.232623271701 -64.865755036162 San Pedro"
ne_10m_urban_areas_landscan.geojson,"no match","-24.087675795949 -57.077688555773 San Pedro"
ne_10m_urban_areas_landscan.geojson,"no match","-34.619982424965 -68.321750131565 San Rafael"
ne_10m_urban_areas_landscan.geojson,"no match","-16.787500000002 -60.675000000019 San Rafael"
ne_10m_urban_areas_landscan.geojson,"no match","-11.128368005439 -75.349967354048 San Ramon"
ne_10m_urban_areas_landscan.geojson,"no match","13.747422218132 -89.163323839085 San Salvador"
ne_10m_urban_areas_landscan.geojson,"no match","43.272578681045 -1.9654801243735 San SebastiÌÁn"
ne_10m_urban_areas_landscan.geojson,"no match","4.7601169805296 -6.6496694175246 San-Pedro"
ne_10m_urban_areas_landscan.geojson,"no match","13.999569974554 -89.534588789824 Santa Ana"
ne_10m_urban_areas_landscan.geojson,"no match","26.804825954753 -105.81731877965 Santa Barbara"
ne_10m_urban_areas_landscan.geojson,"no match","-37.667268966533 -72.021907945212 Santa Barbara"
ne_10m_urban_areas_landscan.geojson,"no match","22.403656732416 -79.97897908159 Santa Clara"
ne_10m_urban_areas_landscan.geojson,"no match","-17.765944876413 -63.236861173117 Santa Cruz"
ne_10m_urban_areas_landscan.geojson,"no match","-6.2259403025321 -36.023987708908 Santa Cruz"
ne_10m_urban_areas_landscan.geojson,"no match","-31.608038836173 -60.709397265799 Santa Fe"
ne_10m_urban_areas_landscan.geojson,"no match","-34.454148560511 -56.390049443522 Santa Lucia"
ne_10m_urban_areas_landscan.geojson,"no match","-29.701839754149 -53.793522400192 Santa Maria"
ne_10m_urban_areas_landscan.geojson,"no match","10.533333333287 -71.516666666688 Santa Rita"
ne_10m_urban_areas_landscan.geojson,"no match","-36.621549958401 -64.290428367878 Santa Rosa"
ne_10m_urban_areas_landscan.geojson,"no match","-27.862921091859 -54.465838253951 Santa Rosa"
ne_10m_urban_areas_landscan.geojson,"no match","18.474086639875 -95.297663436821 Santiago Tuxtla"
ne_10m_urban_areas_landscan.geojson,"no match","-27.779421890807 -64.258421747275 Santiago del Estero"
ne_10m_urban_areas_landscan.geojson,"no match","8.1089349186038 -80.971822749494 Santiago"
ne_10m_urban_areas_landscan.geojson,"no match","19.476365233334 -70.719245285245 Santiago"
ne_10m_urban_areas_landscan.geojson,"no match","0.34349760913257 6.7168559612798 Sao Tome"
ne_10m_urban_areas_landscan.geojson,"no match","54.190112131227 45.180067177515 Saransk"
ne_10m_urban_areas_landscan.geojson,"no match","56.464265854295 53.781366952868 Sarapul"
ne_10m_urban_areas_landscan.geojson,"no locations found","33.160028705583 129.74979545607 Saseba  ( 376 ) in naturalearthdata/ne_10m_urban_areas_landscan.geojson"
