source,status,item
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","-12.165340210126 96.840380977691 Cocos (Keeling) Islands Indian Ocean Territories   (feature #1400)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","-12.165340210126 96.840380977691 Cocos (Keeling) Islands Indian Ocean Territories    (feature #1400)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-12.165340210126 96.840380977691 Cocos (Keeling) Islands Indian Ocean Territories    (feature #1400)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","-10.495950407233 105.66116248708 Christmas Island Indian Ocean Territories    (feature #1401)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-10.495950407233 105.66116248708 Christmas Island Indian Ocean Territories    (feature #1401)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","-6.1498068058875 71.749128607236 IOT- (Br. Indian Ocean Ter. aggregation)  (feature #1402)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-6.1498068058875 71.749128607236 IOT- (Br. Indian Ocean Ter. aggregation) British Indian Ocean Territory    (feature #1402)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","52.167460986549 -7.5626790628323 Waterford  (feature #1403)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","52.167460986549 -7.5626790628323 Waterford Ireland  (feature #1403, WOEID: 2345271)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","54.152544478342 -6.9376174647983 Monaghan  (feature #1404, WOEID: 2345266)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","53.925163385219 -6.3882235370708 Louth Ireland  (feature #1405)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","53.925163385219 -6.3882235370708 Louth Ireland Lú  (feature #1405)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","53.925163385219 -6.3882235370708 Louth Ireland Lú   (feature #1405)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","53.925163385219 -6.3882235370708 Louth Ireland Lú   (feature #1405)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","53.341702517194 -9.0199864518255 Galway  (feature #1406)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","53.341702517194 -9.0199864518255 Galway Ireland  (feature #1406)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","53.341702517194 -9.0199864518255 Galway Ireland Gaillimh  (feature #1406)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","53.341702517194 -9.0199864518255 Galway Ireland Gaillimh   (feature #1406)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","53.341702517194 -9.0199864518255 Galway Ireland Gaillimh   (feature #1406)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","53.9327613133 -9.4247781079881 Mayo Ireland  (feature #1407)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","53.9327613133 -9.4247781079881 Mayo Ireland Maigh Eo  (feature #1407)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","53.9327613133 -9.4247781079881 Mayo Ireland Maigh Eo   (feature #1407)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","53.9327613133 -9.4247781079881 Mayo Ireland Maigh Eo   (feature #1407)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","53.631691506203 -6.779812090135 Meath  (feature #1408)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","53.631691506203 -6.779812090135 Meath Ireland  (feature #1408)"
