source,status,item
ne_50m_admin_0_countries.geojson,"No API results matched feature.","-0.87998058533139 15.064039613177 Republic of Congo Republic of Congo  (feature #45)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-21.220042818728 -159.78762494952 Cook Islands  (feature #46, WOEID: 23424795)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","3.8585731091083 -73.015362993243 Colombia  (feature #47, WOEID: 23424787)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-12.016034083467 43.809376333487 Comoros  (feature #48, WOEID: 23424786)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","15.951649305735 -23.761078054997 Cape Verde  (feature #49, WOEID: 23424794)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","9.906102379372 -84.142673813482 Costa Rica  (feature #50, WOEID: 23424791)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","21.675986516379 -79.399088662378 Cuba  (feature #51, WOEID: 23424793)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","12.203061217307 -68.974099147952 Curaçao  (feature #52, WOEID: 56558057)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","19.487867963354 -80.695724842478 Cayman Islands  (feature #53, WOEID: 23424783)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","35.257729997615 33.583957829512 Northern Cyprus  (feature #54, WOEID: 23424995)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","34.931717651924 33.076482719842 Cyprus  (feature #55, WOEID: 26812346)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","49.746787271414 15.338373779088 Czech Republic  (feature #56, WOEID: 23424810)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","51.146930444918 10.3840232946 Germany  (feature #57, WOEID: 23424829)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","11.760682752239 42.605153439877 Djibouti  (feature #58, WOEID: 23424797)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","15.437778090762 -61.363250190807 Dominica  (feature #59, WOEID: 23424798)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","55.98482351358 10.322012029795 Denmark  (feature #60, WOEID: 23424796)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","18.886618648131 -70.501882722303 Dominican Republic  (feature #61, WOEID: 23424800)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","28.183623572143 2.6215078151197 Algeria  (feature #62, WOEID: 23424740)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-1.420799039736 -79.371461168998 Ecuador  (feature #63, WOEID: 23424801)"
