source,status,item
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","4.7230108015041 -55.114662553228 Brokopondo  (feature #2800, WOEID: 377228)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","5.6322842588541 -54.387441417366 Marowijne  (feature #2801, WOEID: 2346409)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","5.3338328501601 -55.308853282201 Para  (feature #2802, WOEID: 2346411)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","3.813445279394 -55.968378944303 Sipaliwini  (feature #2803, WOEID: 2346414)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.7674942482538 -54.899323910944 Commewijne  (feature #2804)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.7674942482538 -54.899323910944 Commewijne Suriname  (feature #2804)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","5.7674942482538 -54.899323910944 Commewijne Suriname   (feature #2804, WOEID: 2346407)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.6344367188541 -56.287378196262 Coronie  (feature #2805)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.6344367188541 -56.287378196262 Coronie Suriname  (feature #2805)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.6344367188541 -56.287378196262 Coronie Suriname   (feature #2805)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.6344367188541 -56.287378196262 Coronie Suriname    (feature #2805)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.8492492600457 -55.168849198653 Paramaribo  (feature #2806)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.8492492600457 -55.168849198653 Paramaribo Suriname  (feature #2806)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.8492492600457 -55.168849198653 Paramaribo Suriname   (feature #2806)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.8492492600457 -55.168849198653 Paramaribo Suriname    (feature #2806)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.7099188456428 -55.63575958735 Saramacca  (feature #2807)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.7099188456428 -55.63575958735 Saramacca Suriname  (feature #2807)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.7099188456428 -55.63575958735 Saramacca Suriname   (feature #2807)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.7099188456428 -55.63575958735 Saramacca Suriname    (feature #2807)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.7510864859944 -55.213070419017 Wanica  (feature #2808)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.7510864859944 -55.213070419017 Wanica Suriname  (feature #2808)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","5.7510864859944 -55.213070419017 Wanica Suriname   (feature #2808)"
