source,status,item
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","83.888264175272 -6.3250863496262 ARCTIC OCEAN  (feature #0, WOEID: 55959707)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","-65.412035741987 -18.323990270293 SOUTHERN OCEAN  (feature #1, WOEID: 55959676)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","32.020466730582 -35.352928530495 NORTH ATLANTIC OCEAN  (feature #2, WOEID: 55959709)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","23.972091769675 -40.136853711026 NORTH PACIFIC OCEAN  (feature #3, WOEID: 55959717)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","-29.8490199189 -90.164519443909 SOUTH PACIFIC OCEAN  (feature #4, WOEID: 55959717)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","-33.833803625842 82.345034265427 INDIAN OCEAN  (feature #5, WOEID: 55959675)"
ne_10m_geography_marine_polys.geojson,"No API results matched feature.","-34.021912085777 -18.983919984549 SOUTH ATLANTIC OCEAN  (feature #6)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","43.356145973345 34.086025983571 Black Sea  (feature #7, WOEID: 55959689)"
ne_10m_geography_marine_polys.geojson,"No API results matched feature.","18.728740476218 133.64248840316 Philippine Sea  (feature #8)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","-18.293879286537 156.91003610468 Coral Sea  (feature #9, WOEID: 55959704)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","-39.66937736301 160.72620979233 Tasman  Sea  (feature #10, WOEID: 55959702)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","13.697885399766 87.553314235226 Bay of Bengal  (feature #11, WOEID: 55959674)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","11.181232969722 112.29882913105 South China Sea  (feature #12, WOEID: 55959698)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","40.668647129651 135.15730404749 Sea of Japan  (feature #13, WOEID: 55959693)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","34.232201786368 23.672783187186 Mediterranean Sea  (feature #14, WOEID: 55959718)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","13.347398169684 63.859945246634 Arabian Sea  (feature #15, WOEID: 55959681)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","72.209798514666 -136.58987493307 Beaufort  Sea  (feature #16, WOEID: 55959708)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","15.330161014349 -74.388334644608 Caribbean  Sea  (feature #17, WOEID: 55959687)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","25.560950464525 -89.865123457938 Gulf of Mexico  (feature #18, WOEID: 55959686)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","55.988996612435 -53.857155962008 Labrador Sea  (feature #19, WOEID: 55959684)"
ne_10m_geography_marine_polys.geojson,"No API results matched feature.","59.754305552508 -85.316222898019 Hudson Bay  (feature #20)"
ne_10m_geography_marine_polys.geojson,"No API results matched feature.","41.877649623277 50.699103416994 Caspian Sea  (feature #21)"
ne_10m_geography_marine_polys.geojson,"No API results matched feature.","73.565703858885 -67.902368166763 Baffin Bay  (feature #22)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","57.628061145707 -149.41538031182 Gulf of Alaska  (feature #23, WOEID: 55959710)"
ne_10m_geography_marine_polys.geojson,"Success! Matched feature to API result.","20.267562446668 38.760802119985 Red Sea  (feature #24, WOEID: 55959678)"
